바코드,제품명,구매가,판매가,카테고리,국가,매장시음 판매가,포도품종,테이크아웃 판매가,메모,입고가,수입사,생성일,수량
8809766950954,Domaine Xavier Monnot Bourgogne Chardonnay 'Les Grandes Coutures' 2019,0,145000,France - White,France,145000,Chardonnay,,도멘 자비에 모노 부르고뉴 샤도네이 2019,,,2022-06-07 16:59:42,1
8809521458343,Domaine d'Ardhuy Clos de Vougeot 2018,0,455000,France - Red,France,455000,,,도멘 다르뒤 끌로 드 부조 2018,,,2022-06-07 17:58:14,1
2006260230193,Domaine de la Vougeraie Vougeot 1er CRU 'Le Clos Blanc de Vougeot'(Monopole) 2019,0,380000,France - White,France,380000,Chardonnay,280000,도멘 부즈레이 부조 프르미에 크뤼 르 끌로 블랑 드 부조 모노폴 2019,,,2022-03-18 17:47:13,1
2047615971507,Domaine des Rouges Queues Maranges Blanc 2019,0,150000,France - White,France,150000,Chardonnay,92000,루즈 뀌에 마랑쥬 블랑2019,70000,,2022-03-11 17:39:18,0
2096050092872,Domaine des Rouges Queues Saint Jean de Narosse Santenay Blanc 2019,0,140000,France - White,France,140000,Chardonnay,110000,루즈 뀌에 상뜨네 블랑 생 장 드 나로쎄 2019,78000,,2022-03-11 17:35:51,0
2028556079279,Domaine des Rouges-Queues Bourgogne Hautes-Cotes-de-Beaune 2019,0,125000,France - White,France,125000,,,도멘 드 루즈-끄 부르고뉴 오뜨-꼬뜨-드-브엉 2019,,,2022-06-07 17:03:54,0
8809627630490,Dominique Laurent Pommard Vieilles Vignes 2017,0,0,France - Red,France,,,,도미니크 로랑 포마르 비에이 비뉴 2017,,,2022-09-07 19:31:44,3
3469380630615,Drappier Charles de Gaulle Brut Champagne,0,0,France - Sparkling,France,,Pinot Noir,,샴페인 드라피에 샤를 드 골 브륏,,,2022-03-01 17:09:46,0
669576019528,Duckhorn Goldeneye Pinot Noir Anderson Valley 2019,0,0,U.S.A - Red,U.S.A,180000,Pinot Noir,120000,덕혼 골든아이 피노누아 앤더슨 밸리 2019,,,2022-04-29 20:45:52,1
669576019344,Duckhorn Napa Valley Cabernet Sauvignon 2019,0,0,U.S.A - Red,U.S.A,,Cabernet Sauvignon,,덕혼 나파밸리 카버네쇼비뇽 2019,,,2022-09-19 17:37:56,1
8809795484185,Duckhorn Napa Valley Merlot 2019,0,180000,U.S.A - Red,U.S.A,180000,Merlot,,덕혼 나파밸리 멜롯 2019,,,2022-02-28 16:26:31,0
3259456002558,Duval-Leroy Brut Reserve Champagne,0,150000,France - Sparkling,France,150000,,80000,듀발-르로이 브룻 리저브 샴페인,,,2022-04-18 14:44:48,0
8019873924407,Edizione Fantini No.20 2018,0,135000,Italy - Red,Italy,,,,에디찌오네 판티니 넘버.20 2018,,,2022-07-06 18:08:01,2
2073631799290,Eric de Suremain Monthelie 2019,0,115000,France - Red,France,115000,,,에릭 드 슐망 몽뗄리에 2019,,,2022-06-07 17:50:33,1
2016769284450,Famille Carabello Baum Bourgogne Chardonnay 2018,0,110000,France - White,France,110000,Chardonnay,85000,파밀레 카라벨로 바움 부르고뉴 샤도네이 2018,76000,,2022-02-28 17:09:14,2
850017337503,Far Niente Family Post & Beam Cabernet Sauvignon 2019,0,0,U.S.A - Red,U.S.A,,Cabernet Sauvignon,130000,파니엔테 포스트엔빔 나파밸리 카베네쇼비뇽 2019,91200,,2022-02-28 16:44:20,0
850017337510,Far Niente Family Post & Beam Chardonnay 2020,0,0,U.S.A - White,U.S.A,,Chardonnay,89000,파니엔테 포스트엔빔 나파밸리 샤도네이 2020,66000,,2022-02-28 16:42:14,0
030174091122,Far Niente Napa Valley Chardonnay 2020,0,0,U.S.A - White,U.S.A,,Chardonnay,,파니엔터 나파밸리 샤도네이 2020,,,2022-09-19 17:49:28,4
8030967019311,Fattoria le Pupille Morellino di Scansano 2019,0,65000,Italy - Red,Italy,65000,Sangiovese,45000,모렐리노 스칸자노 엘리자베타 제페티 2019,35000,,2022-03-04 18:09:04,0
859369001254,Faust Napa Valley Cabernet Sauvignon 2017,0,180000,U.S.A - Red,U.S.A,,Cabernet Sauvignon,,파우스트 나파밸리 카버네 쇼비뇽 2017,,,2022-07-07 15:24:26,0
2052705249190,Fedora (Kolsch),0,45000,Original Beer Company,OB Company,45000,,,페도라 (쾰시),,,2022-05-23 22:54:25,0
747736492937,Francis Ford Coppola Winery The Pinot Project California Pinot Noir 2020,0,0,U.S.A - Red,U.S.A,,Pinot Noir,,프란시스 포드 코폴라 와이너리 더 피노 프로젝트 캘리포니아 피노누아 2020,,,2022-05-28 22:15:54,0
8809591406916,Francois Massoc Aristos Duquesa' d'A Grand Chardonnay du Chile 2014 ,0,280000,Chile - White,Chile,,Chardonnay,,프란코이스 마샄 아리스토스 두케사 다 그랑 샤도네이 뒤 칠레 2014,,,2022-06-09 17:05:03,3
2023376462980,Gaja S.s Agricola Barolo Dagromis 2017,0,380000,Italy - Red,Italy,380000,Nebbiolo,,가야 바롤로 다그로미스 2017,,,2022-05-10 20:13:51,1
300000313,Geantet Pansiot Chambolle-Musigny 1er CRU 'les Baudes' 2014,0,395000,France - Red,France,395000,,,장테 팡시오 샹볼 뮈지니 프르미에 크뤼 '레 보드' 2014,,,2022-05-25 17:28:30,0
2034612998521,Geyser Peak Chardonnay 2017,0,0,U.S.A - White,U.S.A,55000,Chardonnay,30000,가이서 픽 샤도네이 2017,,,2022-05-10 23:57:57,0
8388766407960,Giuseppe Papetti Appassimento Negroamaro,0,55000,Italy - Red,Italy,55000,Negroamaro,30000,쥬세페 파페티,,,2022-02-28 16:52:56,7
8388766408080,Giuseppe Papetti Appassimento Puglia Collezione 2019,0,0,Italy - Red,Italy,,Blend,,쥬세페 파페티 아파시먼토 푸글리아 꼴레지오네 2019,,,2022-08-03 17:48:33,0
5010327325125,Glenfiddich Aged 15Years,0,300000,Whisky,Whisky,300000,,,글렌피딕 15년산,,,2022-06-30 15:57:33,0
5010327325323,Glenfiddich Aged 18Years,0,400000,Whisky,Whisky,400000,,,글렌피딕 18년산,,,2022-06-30 15:50:08,0
2040453533821,Glenmorangie 18Y,0,400000,Whisky,Whisky,400000,,275000,글렌모렌지 18년 싱글몰트 스카치 위스키,,,2022-03-18 19:01:28,0
5010494560282,Glenmorangie Aged 10Years,0,220000,Whisky,Whisky,250000,,,글렌모렌지 10년산,,,2022-06-30 15:58:57,4
5010494574272,Glenmorangie Signet,0,550000,Whisky,Whisky,,,,글렌모렌지 시그넷,,,2022-06-08 16:05:23,1
8437008954974,Grace's Harvest Reserva Toro 2015,0,0,Spain - Red,Spain,,,,그레이스 하비스트 리제르바 토로(모란) 2015,,,2022-09-07 19:20:25,0
8437008954998,Grace's Harvest Toro Tinto 2019,0,0,Spain - Red,Spain,,,,그레이스 하비스트 토로 틴토(장미) 2019,,,2022-09-07 19:22:10,3
8802340283813,Grant Burge Barossa Filsell Shiraz 2018,0,88000,Australia - Red,Australia,88000,Shiraz,,그랜트 버지 필셀 바로사 올드바인 쉬라즈,,,2022-02-28 16:40:21,4
9315705005405,Grant Burge Meshach Barossa Shiraz 2016,0,350000,Australia - Red,Australia,350000,Shiraz,,그랜트 버지 미샥 바로사 쉬라즈 2016,,,2022-04-11 18:49:45,0
8809835803594,Henri Giraud Grand CRU Brut Champagne MV16,0,415000,France - Sparkling,France,415000,,,앙리 지로 그랑 크뤼 브룻 샴페인 MV16,,,2022-06-08 16:11:29,0
3250250160338,Henri Maire Cremant du Jura Blanc de Noirs ,0,65000,France - Sparkling,France,65000,,,앙리 메이어 크레망 뒤 쥐라 블랑 드 누아,,,2022-06-07 17:19:53,0
2071824120692,Hudelot Baillet Bourgogne Pinot Noir 2019,0,65000,France - Red,France,65000,Pinot Noir,,도멘 허들렛 베일리 부르고뉴 피노누아 2019,,,2022-02-28 16:55:18,0
896599002149,If You See Kay Red Blend 2017,0,88000,U.S.A - Red,U.S.A,88000,Blend,,이프 유 씨 케이 2017,,,2022-02-28 16:42:19,0
9421905673006,Invivo Sarah Jessica Parker Sauvignon Blanc 2021,0,77000,NewZealand - White,NewZealand,77000,Sauvignon Blanc,,인비보x사라제시카파커 쇼비뇽블랑 2021,,,2022-04-13 16:54:21,0
082184090473,Jack Daniel's Jennessee Whiskey ,0,0,Whisky,Whisky,,,,잭 다니엘스 올드 넘버7 헤네씨 위스키,,,2022-06-01 19:58:11,1
2055121848893,Jacques Selosse Initial Blancs Brut Champagne Grand CRU 'Avize' 2020,0,0,France - Sparkling,France,,Blend,,자크셀로스 이니셜 2020,,,2022-03-01 17:36:32,1
2026393531066,Jacques Selosse Rose Brut Champagne 2020,0,0,France - Sparkling,France,,,,자크셀로스 로제 브룻 샴페인 2020,,,2022-05-09 18:00:40,1
2088145991139,Jean Fery & Fils Pernand-Vergelesses 1er CRU 'Les Vergelesses' 2019,0,0,France - White,France,,Pinot Noir,,도멘 장 페리 & 필즈 사비니 레 본 프르미에 크뤼 레 베르즐레스 2019,,,2022-03-01 17:14:44,0
2024585854214,Jean Noel Gagnard Bourgogne Hautes-Cote de Beaune Sous Eguisons Blanc 2016,0,120000,France - White,France,120000,,,장 노엘 가나르 부르고뉴 오뜨꼬뜨본 쑤 제기쏭 블랑 2016,,,2022-07-21 16:23:27,1
2082287919204,Jean Noel Gagnard Maison Caroline Lestime Chassagne-Montrachet 1er CRU 'Maltroie' 2016,0,300000,France - White,France,300000,Pinot Noir,220000,캐롤린 레스티메 샤샤뉴 몽라쉐 프르미에 크뤼 2016,165000,,2022-03-04 15:04:44,0
3260980021380,Jean-Claude Boisset Pinot Noir Bourgogne 'Les Ursulines' 2019,0,0,France - Red,France,,Pinot Noir,,장 끌로드 부아세 부르고뉴 피노누아 2019,,,2022-02-28 16:43:38,0
3260980010803,Jean-Claude Boisset Vosne-Romanee 2019,0,0,France - Red,France,,,,장-끌로드 부아셰 본-로마네 2019,,,2022-04-18 17:56:56,0
8809802660618,Jeantet Pansiot Chambolle-Musigny 'Vieilles Vignes' 2019,0,195000,France - Red,France,195000,,,장테 팡시오 샹볼뮈지니 '비에이유 비뉴' 2019,,,2022-05-25 17:31:11,0
5000267024011,Johnnie Walker Black Label Aged 12Years Blended Scotch Whisky,0,0,Whisky,Whisky,,,,조니 워커 블랙라벨 12년산 블렌디드 스카치 위스키,,,2022-06-01 19:48:44,1
5000267114279,Johnnie Walker Blue Label Blended Scotch Whisky,0,0,Whisky,Whisky,550000,,,조니워커 블루라벨 블렌디드 스카치 위스키,,,2022-04-21 17:42:13,2
084444100168,Jordan Cabernet Sauvignon 2016,0,180000,U.S.A - Red,U.S.A,180000,Cabernet Sauvignon,,조단 알렉산더밸리 소노마카운티 카베르네쇼비뇽 2016,,,2022-03-01 17:46:07,0
857744001325,Joseph Carr Josh Chardonnay 2018,0,0,Australia - White,U.S.A,,Chardonnay,,조셉 칼 조쉬 샤도네이 2018,,,2022-09-19 17:40:23,4
857744099971,Joseph Carr Napa Valley Cabernet Sauvignon 2017,0,0,U.S.A - Red,U.S.A,,Cabernet Sauvignon,,조셉 칼 나파밸리 카버네 쇼비뇽 2017,,,2022-09-19 17:30:36,4
3269160001631,Joseph Perrier Cuvee Josephine Brut Champagne 2012,0,395000,France - Sparkling,France,395000,,,조셉 페리에 뀌베 조세핀 브룻 샴페인 2012,,,2022-06-09 17:11:32,0
